Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202000000001;7;3;2020;16:55;1;91;91657;2;3;1;3;HENRI BARBUSSE (AVENUE);48,7053500;2,4384100
202000000002;7;3;2020;08:35;2;91;91657;2;9;7;6;MOUSSEAUX(CHEMIN);48,6900000;2,4100000
202000000003;7;3;2020;13:30;1;91;91174;2;2;1;3;CARNOT(AVENUE);48,6106700;2,4758200
202000000004;7;3;2020;18:50;5;91;91215;2;1;1;6;VICTOR HUGO (AVENUE);48,6978200;2,5244600
202000000005;7;3;2020;11:00;1;77;77181;1;6;1;2;LAGNY  (RUE DE  ) - D35;48,8286457;2,7059707
202000000006;5;3;2020;07:00;2;76;76114;1;2;2;3;D6015;49,5763988;0,5101875
202000000007;6;3;2020;20:29;5;68;68297;2;1;1;2;Avenue du General de Gaulle;47,5824950;7,5563270
202000000008;7;3;2020;10:20;1;64;64024;2;3;8;3;Boulevard du Bayonne Anglet Biarritz;43,4938100; -1,5230700
202000000009;6;3;2020;08:15;1;62;62757;2;2;1;6;CALAIS (RUE DE ....19A 71 ET 28 A 110);50,7570746;2,2325420
202000000010;4;3;2020;04:05;3;62;62540;1;1;1;1;CD941;50,4582925;2,5756715
202000000011;5;3;2020;11:50;1;59;59143;2;3;1;-1;BEAUCHAMP  (RUE LEON );50,6785000;2,8742000
202000000012;7;3;2020;05:00;4;56;56260;2;1;1;6;LECLERC(RUE DU MARECHAL);47,6581100; -2,7513900
202000000013;7;3;2020;06:15;5;54;54578;1;1;1;6;MULLER (AVENUE PAUL);48,6700750;6,1583190
202000000014;7;3;2020;13:20;1;51;51454;2;7;1;2;Avenue de l’Europe;49,2556464;4,0611947
202000000015;3;3;2020;20:20;5;48;48095;2;1;9;6;GEORGES CLEMENCEAU (AVENUE);44,5225800;3,5027900
202000000016;7;3;2020;17:00;1;35;35238;2;1;1;4;VERN (DE);48,0980371; -1,6554889
202000000017;7;3;2020;13:45;1;35;35238;2;1;1;6;GRIMAULT (2 BD LEON);48,0914000; -1,6562500
202000000018;7;3;2020;01:40;5;35;35238;2;2;1;3;CHATEAUGIRON (DE);48,0952700; -1,6377600
202000000019;26;2;2020;13:45;1;31;31483;1;1;2;7;Route de la Serre de Cazaux;43,1195210;0,7267790
202000000020;7;3;2020;14:55;1;26;26281;2;2;1;3;40 Avenue du 8 Mai;45,0468000;5,0813300
202000000021;7;3;2020;15:15;1;22;22113;2;9;8;6;FORLAC'H (RUE DU);48,7325070; -3,4539630
202000000022;7;3;2020;18:20;1;17;17300;2;1;1;6;LUXEMBOURG   AVENUE DE;46,1692600; -1,1786400
202000000023;7;3;2020;21:10;5;13;13216;2;1;1;7;RUISSEAU MI (RUE);43,3481000;5,3447000
202000000024;7;3;2020;03:00;5;13;13201;2;1;1;2;BRETEUIL (RUE)    2 A 18;43,2926210;5,3748760
202000000025;7;3;2020;14:45;1;06;06069;2;1;1;2;Route de Cannes;43,6243000;6,9655000
202000000026;7;3;2020;13:15;1;06;06027;2;1;1;1;VAL FLEURI CHEMIN DU;43,6650200;7,1709100
202000000027;6;3;2020;19:00;3;06;06123;2;1;1;1;CURIE PIERRE ET MARIE AVENUE;43,6896700;7,1857100
202000000028;7;3;2020;13:45;1;75;75113;2;3;1;6;RUE DE LA SANTE;48,8288150;2,3415200
202000000029;2;3;2020;15:15;1;75;75117;2;4;1;7;RUE VILLARET DE JOYEUSE;48,8769570;2,2899270
